iter	Passed	Remaining
422	2294	3130
423	2301	3126
424	2307	3122
425	2314	3119
426	2320	3114
427	2327	3110
428	2333	3105
429	2340	3102
430	2347	3098
431	2353	3094
432	2360	3091
433	2366	3085
434	2372	3081
435	2378	3076
436	2385	3073
437	2391	3068
438	2398	3064
439	2405	3061
440	2414	3060
441	2421	3056
442	2427	3052
443	2434	3048
444	2439	3042
445	2446	3038
446	2450	3031
447	2455	3025
448	2461	3020
449	2466	3015
450	2473	3010
451	2480	3007
452	2485	3001
453	2492	2998
454	2498	2993
455	2505	2989
456	2512	2985
457	2518	2980
458	2525	2976
459	2531	2971
460	2538	2968
461	2545	2964
462	2550	2958
463	2557	2954
464	2563	2949
465	2571	2946
466	2578	2943
467	2584	2937
468	2591	2933
469	2597	2928
470	2604	2925
471	2611	2921
472	2617	2916
473	2624	2912
474	2630	2907
475	2638	2904
476	2646	2901
477	2655	2899
478	2665	2899
479	2673	2896
480	2681	2893
481	2690	2891
482	2698	2888
483	2707	2886
484	2716	2884
485	2724	2881
486	2732	2878
487	2741	2876
488	2750	2874
489	2759	2872
490	2768	2869
491	2775	2865
492	2783	2862
493	2790	2858
494	2799	2855
495	2807	2852
496	2816	2850
497	2824	2846
498	2832	2843
499	2840	2840
500	2848	2837
501	2859	2836
502	2866	2832
503	2875	2830
504	2884	2827
505	2891	2823
506	2901	2820
507	2909	2818
508	2918	2815
509	2925	2810
510	2934	2808
511	2942	2804
512	2951	2802
513	2960	2799
514	2968	2795
515	2977	2793
516	2985	2788
517	2992	2784
518	3001	2781
519	3009	2777
520	3017	2774
521	3025	2770
522	3034	2767
523	3044	2765
524	3050	2759
525	3056	2754
526	3063	2749
527	3071	2746
528	3078	2741
529	3085	2736
530	3091	2730
531	3097	2724
532	3102	2718
533	3108	2712
534	3113	2706
535	3119	2700
536	3125	2694
537	3131	2688
538	3136	2682
539	3142	2676
540	3148	2670
541	3153	2665
542	3159	2658
543	3164	2653
544	3170	2647
545	3176	2641
546	3182	2635
547	3193	2633
548	3198	2627
549	3204	2622
550	3210	2616
551	3216	2610
552	3222	2604
553	3228	2599
554	3234	2593
555	3240	2587
556	3245	2581
557	3251	2575
558	3257	2569
559	3263	2563
560	3269	2558
561	3274	2552
562	3280	2546
563	3286	2540
564	3293	2535
565	3299	2529
566	3304	2523
567	3310	2517
568	3316	2511
569	3321	2505
570	3327	2499
571	3332	2493
572	3338	2488
573	3344	2482
574	3350	2476
575	3355	2470
576	3361	2464
577	3367	2458
578	3372	2452
579	3378	2446
580	3384	2440
581	3390	2434
582	3395	2428
583	3401	2422
584	3407	2416
585	3412	2411
586	3418	2405
587	3424	2399
588	3429	2393
589	3435	2387
590	3441	2381
591	3446	2375
592	3452	2369
593	3458	2363
594	3464	2357
595	3469	2352
596	3475	2346
597	3481	2340
598	3486	2334
599	3492	2328
600	3498	2322
601	3503	2316
602	3509	2310
603	3515	2304
604	3521	2298
605	3526	2293
606	3532	2287
607	3537	2280
608	3543	2274
609	3548	2269
610	3554	2263
611	3560	2257
612	3565	2251
613	3571	2245
614	3577	2239
615	3583	2233
616	3588	2227
617	3594	2222
618	3600	2216
619	3606	2210
620	3612	2204
621	3617	2198
622	3623	2192
623	3629	2187
624	3635	2181
625	3641	2175
626	3647	2169
627	3653	2163
628	3658	2158
629	3668	2154
630	3675	2149
631	3681	2143
632	3688	2138
633	3698	2135
634	3704	2129
635	3712	2124
636	3718	2118
637	3723	2112
638	3729	2107
639	3736	2102
640	3742	2096
641	3748	2090
642	3753	2084
643	3759	2078
644	3765	2072
645	3771	2066
646	3776	2060
647	3782	2054
648	3787	2048
649	3793	2042
650	3799	2036
651	3804	2030
652	3810	2024
653	3816	2019
654	3822	2013
655	3828	2007
656	3834	2001
657	3840	1996
658	3846	1990
659	3853	1985
660	3859	1979
661	3865	1973
662	3871	1967
663	3877	1961
664	3882	1956
665	3889	1950
666	3894	1944
667	3900	1938
668	3906	1932
669	3912	1927
670	3917	1920
671	3923	1914
672	3929	1909
673	3935	1903
674	3942	1898
675	3949	1892
676	3954	1886
677	3960	1881
678	3965	1874
679	3971	1869
680	3977	1863
681	3983	1857
682	3988	1851
683	3993	1845
684	3999	1839
685	4005	1833
686	4010	1827
687	4016	1821
688	4022	1815
689	4028	1809
690	4035	1804
691	4046	1801
692	4055	1796
693	4061	1790
694	4067	1785
695	4073	1779
696	4078	1773
697	4084	1767
698	4090	1761
699	4096	1755
700	4102	1749
701	4108	1744
702	4115	1738
703	4123	1733
704	4130	1728
705	4137	1722
706	4144	1717
707	4150	1711
708	4156	1706
709	4162	1700
710	4167	1694
711	4172	1687
712	4178	1682
713	4184	1676
714	4190	1670
715	4195	1664
716	4201	1658
717	4208	1652
718	4213	1646
719	4219	1641
720	4225	1635
721	4231	1629
722	4237	1623
723	4242	1617
724	4248	1611
725	4254	1605
726	4260	1599
727	4266	1594
728	4272	1588
729	4278	1582
730	4284	1576
731	4289	1570
732	4295	1564
733	4301	1559
734	4307	1553
735	4313	1547
736	4319	1541
737	4324	1535
738	4330	1529
739	4336	1523
740	4341	1517
741	4347	1511
742	4353	1505
743	4358	1499
744	4364	1493
745	4369	1487
746	4375	1481
747	4381	1476
748	4386	1470
749	4392	1464
750	4397	1458
751	4403	1452
752	4409	1446
753	4415	1440
754	4421	1434
755	4426	1428
756	4432	1422
757	4437	1416
758	4443	1411
759	4449	1405
760	4455	1399
761	4461	1393
762	4467	1387
763	4473	1381
764	4478	1375
765	4484	1369
766	4490	1364
767	4496	1358
768	4502	1352
769	4508	1346
770	4513	1340
771	4519	1334
772	4525	1328
773	4530	1322
774	4536	1317
775	4542	1311
776	4548	1305
777	4553	1299
778	4559	1293
779	4565	1287
780	4571	1281
781	4576	1275
782	4581	1269
783	4587	1263
784	4593	1258
785	4598	1252
786	4604	1246
787	4610	1240
788	4615	1234
789	4622	1228
790	4628	1223
791	4634	1217
792	4640	1211
793	4646	1205
794	4653	1200
795	4665	1195
796	4675	1190
797	4681	1185
798	4687	1179
799	4693	1173
800	4698	1167
801	4704	1161
802	4710	1155
803	4716	1149
804	4721	1143
805	4727	1137
806	4733	1132
807	4739	1126
808	4749	1121
809	4756	1115
810	4762	1109
811	4767	1103
812	4778	1099
813	4785	1093
814	4790	1087
815	4796	1081
816	4802	1075
817	4808	1069
818	4813	1063
819	4819	1057
820	4825	1052
821	4830	1046
822	4836	1040
823	4842	1034
824	4848	1028
825	4853	1022
826	4859	1016
827	4864	1010
828	4869	1004
829	4874	998
830	4880	992
831	4886	986
832	4892	980
833	4898	974
834	4903	968
835	4909	963
836	4916	957
837	4923	951
838	4928	945
839	4934	939
840	4939	933
841	4945	928
842	4951	922
843	4957	916
844	4962	910
845	4968	904
846	4974	898
847	4980	892
848	4986	886
849	4992	881
850	4998	875
851	5003	869
852	5009	863
853	5016	857
854	5022	851
855	5028	845
856	5033	839
857	5039	834
858	5045	828
859	5050	822
860	5056	816
861	5062	810
862	5068	804
863	5073	798
864	5079	792
865	5085	786
866	5091	781
867	5097	775
868	5102	769
869	5108	763
870	5114	757
871	5119	751
872	5125	745
873	5132	739
874	5137	733
875	5143	728
876	5149	722
877	5155	716
878	5160	710
879	5166	704
880	5172	698
881	5178	692
882	5184	686
883	5190	681
884	5196	675
885	5202	669
886	5208	663
887	5213	657
888	5219	651
889	5226	645
890	5232	640
891	5238	634
892	5243	628
893	5249	622
894	5254	616
895	5260	610
896	5265	604
897	5271	598
898	5277	592
899	5283	587
900	5289	581
901	5295	575
902	5301	569
903	5306	563
904	5312	557
905	5317	551
